run_name,run_id,run_url,pooling,ha_lambda,val_auc_roc,val_balanced_acc,val_recall,val_ha_dice,val_inside_minus,val_inside_frac,val_outside_dens,val_cam_nz_frac,val_loss,test_auc_roc,test_balanced_acc,test_ha_dice,test_inside_minus,train_ha_loss,train_cls_loss
sweep_ha__mean__l0p0__ep10__lr1e5,dsc9tcaj,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/dsc9tcaj,mean,0.0,0.9727272727272728,0.913939393939394,0.913939393939394,,,,,,0.30700518973803115,0.9681538230434128,0.8910770617395223,,,,
sweep_ha__mean__l0p1__ep10__lr1e5,jzqq1hzg,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/jzqq1hzg,mean,0.1,0.9735353535353536,0.8862626262626263,0.8862626262626263,0.6172906080881755,0.4705986748139063,0.7303988357385,0.05374931370218595,0.5116921633481979,0.20619247222350817,0.9741775574583146,0.9110560312453058,0.5941362492740154,0.4523858614265919,0.5211372892467343,0.31924993225506376
sweep_ha__mean__l0p25__ep10__lr1e5,v3jpuasl,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/v3jpuasl,mean,0.25,0.9735353535353536,0.8851515151515151,0.8851515151515151,0.6877402146657308,0.5036906162897746,0.7634907841682435,0.051511866475145024,0.4270939538876216,0.2096940777817015,0.9733062941264834,0.9105302688898904,0.6637225244194269,0.48503523832187057,0.46558861829796616,0.32545647283597867
sweep_ha__mean__l0p5__ep10__lr1e5,08h0jkk9,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/08h0jkk9,mean,0.5,0.9727272727272728,0.8829292929292929,0.8829292929292929,0.7341759741306305,0.5232822865247726,0.7830824534098307,0.051318688814838725,0.38717048466205595,0.21580609616081595,0.9721045515998198,0.9110560312453058,0.7082406170666218,0.5030344598926604,0.4273775840292171,0.33525845180360636
sweep_ha__mean__l1p0__ep10__lr1e5,dcpji8ou,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/dcpji8ou,mean,1.0,0.9706060606060606,0.8795959595959596,0.8795959595959596,0.770217627286911,0.5384732107321422,0.7982733766237895,0.05172491272290547,0.3653061181306839,0.22696600260875993,0.9701817635571578,0.9094787441790596,0.7422915333881974,0.5147064574994147,0.39643961616924833,0.35126785766713475
sweep_ha__mean__l3p0__ep10__lr1e5,0rlr28yq,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/0rlr28yq,mean,3.0,0.9657575757575756,0.8762626262626263,0.8762626262626263,0.8021157284577688,0.5554654916127523,0.8152656714121501,0.051543910925587015,0.3513924251000086,0.2669279130838685,0.962070001502178,0.8925642181162685,0.7687244359403849,0.5230076173320413,0.3682262684617724,0.39175241592587257
sweep_ha__mean__l5p0__ep10__lr1e5,u4vdlfay,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/u4vdlfay,mean,5.0,0.9625252525252526,0.9206060606060606,0.9206060606060606,0.807684048016866,0.5592799752950668,0.8190801461537679,0.05128121065596739,0.34877762794494627,0.3063784201266402,0.9623253717890942,0.8946672675379299,0.8036301303654909,0.5478433161042631,0.36308125756224807,0.4184882370184879
sweep_ha__mean__l7p0__ep10__lr1e5,8c2nrcx2,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/8c2nrcx2,mean,7.0,0.9595959595959596,0.9128282828282828,0.9128282828282828,0.810416332880656,0.5620612680912018,0.8218614419301351,0.05077396246294181,0.34670492510000867,0.34763644964008006,0.9535977166891992,0.9007585999699564,0.7882946627214551,0.5362343578599393,0.3608859011105129,0.44323380108998744
sweep_ha__mean__l11p0__ep10__lr1e5,n1k2wj0d,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/n1k2wj0d,mean,11.0,0.9554545454545452,0.8878787878787879,0.8878787878787879,0.8134488721688589,0.5659509758154552,0.8257511496543884,0.049322614135841526,0.33933885594209034,0.4355941728010016,0.9475289169295478,0.8965525011266336,0.791212641634047,0.5387457110919058,0.3588070851199481,0.4973387587435392
sweep_ha__mean__l17p0__ep10__lr1e5,1kn9b0bn,https://wandb.ai/choekyel-nyungmartsang-university-of-bern/master-thesis-mel-nv/runs/1kn9b0bn,mean,17.0,0.9451515151515152,0.8812121212121212,0.8812121212121212,0.8150807122389475,0.5670298566420873,0.826830017566681,0.04881980655093988,0.33637329439322156,0.5226961899611909,0.9382154123479044,0.8838440739071654,0.7926615606993437,0.5401923269964755,0.35755044282699117,0.5588328771445216
